sep=,
Dual Lasers - Door Trigger,Dual Lasers - Switch Glitch,Dual Lasers - Flags
,,
,,
6.733 (6.733),,
,,
6.700 (6.700),9.967 (3.267),
,,
,,
6.667 (6.667),9.933 (3.267),
,,
,,
6.667 (6.667),,
,,
,,
,,
6.733 (6.733),,
6.667 (6.667),,
6.733 (6.733),,
,,
6.733 (6.733),,
6.633 (6.633),,
6.667 (6.667),,
,,
6.700 (6.700),,
6.633 (6.633),,
,,
,,
,,
,,
6.667 (6.667),,
,,
6.700 (6.700),,
6.633 (6.633),,
,,
,,
,,
,,
,,
,,
,,
6.700 (6.700),10.133 (3.433),11.567 (1.433)
,,
,,
6.667 (6.667),,
6.700 (6.700),10.200 (3.500),11.500 (1.300)
,,
6.700 (6.700),,
6.800 (6.800),,
,,
,,
6.633 (6.633),,
,,
,,
,,
,,
,,
,,
6.667 (6.667),9.867 (3.200),
6.733 (6.733),,
6.633 (6.633),,
6.633 (6.633),,
,,
6.667 (6.667),10.000 (3.333),
6.633 (6.633),,
6.667 (6.667),9.967 (3.300),
6.667 (6.667),9.933 (3.267),11.333 (1.400)
6.633 (6.633),10.133 (3.500),
,,
,,
,,
,,
,,
6.700 (6.700),,
,,
6.633 (6.633),,
6.733 (6.733),10.067 (3.333),
,,
6.633 (6.633),,
6.733 (6.733),,
6.633 (6.633),,
6.667 (6.667),,
,,
,,
6.700 (6.700),,
6.733 (6.733),,
,,
6.700 (6.700),,
,,
,,
6.667 (6.667),,
,,
6.733 (6.733),,
,,
6.667 (6.667),,
6.733 (6.733),,
6.700 (6.700),9.900 (3.200),
6.633 (6.633),,
,,
,,
6.700 (6.700),9.933 (3.233),
6.733 (6.733),10.033 (3.300),11.433 (1.400)
6.667 (6.667),10.000 (3.333),11.300 (1.300)
,,
,,
,,
6.667 (6.667),,
,,
6.633 (6.633),9.867 (3.233),11.167 (1.300)
6.633 (6.633),,
,,
,,
6.667 (6.667),10.100 (3.433),
,,
,,
,,
,,
,,
6.667 (6.667),9.933 (3.267),
,,
6.667 (6.667),10.000 (3.333),
,,
,,
6.667 (6.667),,
6.767 (6.767),,
,,
6.767 (6.767),,
,,
,,
,,
,,
,,
6.633 (6.633),9.900 (3.267),
,,
6.700 (6.700),,
6.700 (6.700),,
,,
6.700 (6.700),,
6.667 (6.667),,
,,
6.833 (6.833),10.100 (3.267),11.400 (1.300)
6.633 (6.633),,
,,
6.800 (6.800),,
sep=,
7.100 (7.100),,
6.733 (6.733),,
6.600 (6.600),,
,,
6.600 (6.600),,
6.733 (6.733),,
6.700 (6.700),,
,,
,,
6.667 (6.667),10.200 (3.533),
6.700 (6.700),,
,,
6.700 (6.700),10.067 (3.367),
6.700 (6.700),9.967 (3.267),
,,
6.767 (6.767),,
,,
,,
,,
6.800 (6.800),,
6.667 (6.667),9.933 (3.267),11.300 (1.367)
,,
6.733 (6.733),,
6.600 (6.600),,
6.833 (6.833),10.600 (3.767),
6.667 (6.667),,
6.667 (6.667),,
6.733 (6.733),,
6.733 (6.733),,
6.633 (6.633),,
,,
6.633 (6.633),,
,,
,,
6.667 (6.667),,
,,
6.700 (6.700),,
,,
,,
,,
6.600 (6.600),,
,,
,,
,,
,,
,,
6.667 (6.667),9.900 (3.233),11.233 (1.333)
,,
,,
6.667 (6.667),10.100 (3.433),11.400 (1.300)
6.667 (6.667),9.933 (3.267),
,,
,,
6.633 (6.633),9.933 (3.300),
,,
,,
sep=,
,,,
,,,
5.333 (5.333),,,
,,,
,,,
5.267 (5.267),,,
5.233 (5.233),,,
5.200 (5.200),9.167 (3.967),,
,,,
,,,
5.233 (5.233),8.900 (3.667),,
5.233 (5.233),,,
5.233 (5.233),8.967 (3.733),,
5.300 (5.300),,,
5.200 (5.200),,,
5.267 (5.267),9.000 (3.733),,
,,,
,,,
5.300 (5.300),,,
,,,
5.300 (5.300),9.033 (3.733),,
,,,
,,,
,,,
5.300 (5.300),,,
5.167 (5.167),8.867 (3.700),,
,,,
5.200 (5.200),8.967 (3.767),,
5.167 (5.167),8.900 (3.733),,
,,,
,,,
5.233 (5.233),9.167 (3.933),,
,,,
5.300 (5.300),,,
,,,
,,,
,,,
5.200 (5.200),8.933 (3.733),,
,,,
5.233 (5.233),9.067 (3.833),,
,,,
,,,
5.200 (5.200),,,
5.200 (5.200),8.867 (3.667),,27.633 (18.767)
,,,
5.267 (5.267),,,
,,,
5.233 (5.233),,,
5.167 (5.167),8.867 (3.700),,
5.167 (5.167),9.500 (4.333),,
5.233 (5.233),8.967 (3.733),,
5.200 (5.200),9.033 (3.833),,
,,,
,,,
5.267 (5.267),,,
5.167 (5.167),9.000 (3.833),,
5.233 (5.233),8.900 (3.667),,27.267 (18.367)
,,,
,,,
5.300 (5.300),9.000 (3.700),,
,,,
5.200 (5.200),,,
5.267 (5.267),9.000 (3.733),,
5.133 (5.133),8.933 (3.800),,
5.167 (5.167),8.933 (3.767),,
,,,
5.233 (5.233),,,
5.233 (5.233),9.000 (3.767),,27.267 (18.267)
,,,
5.200 (5.200),9.033 (3.833),,
,,,
,,,
,,,
5.167 (5.167),8.967 (3.800),,
5.267 (5.267),9.033 (3.767),,
,,,
5.233 (5.233),,,
5.167 (5.167),8.967 (3.800),,
5.200 (5.200),9.067 (3.867),,
,,,
,,,
5.267 (5.267),9.000 (3.733),,
,,,
5.233 (5.233),8.933 (3.700),,
5.200 (5.200),9.100 (3.900),,
5.267 (5.267),,,
5.200 (5.200),,,
,,,
5.267 (5.267),8.933 (3.667),,
,,,
5.167 (5.167),8.867 (3.700),,
5.167 (5.167),8.867 (3.700),,
,,,
5.167 (5.167),8.933 (3.767),,
,,,
5.200 (5.200),,,
,,,
5.233 (5.233),8.967 (3.733),,
5.200 (5.200),8.967 (3.767),,
,,,
5.267 (5.267),10.000 (4.733),,
,,,
,,,
,,,
,,,
,,,
5.200 (5.200),9.033 (3.833),,27.200 (18.167)
,,,
,,,
5.233 (5.233),9.100 (3.867),,
5.133 (5.133),8.967 (3.833),,
5.100 (5.100),8.833 (3.733),,
,,,
,,,
,,,
5.200 (5.200),8.933 (3.733),,26.767 (17.833)
,,,
5.300 (5.300),,,
,,,
5.133 (5.133),,,
5.200 (5.200),9.000 (3.800),,
,,,
5.167 (5.167),,,
5.167 (5.167),8.967 (3.800),,
,,,
,,,
5.167 (5.167),,,
5.100 (5.100),8.667 (3.567),,26.900 (18.233)
,,,
,,,
5.133 (5.133),,,
5.200 (5.200),8.900 (3.700),,
,,,
,,,
5.167 (5.167),8.867 (3.700),,
,,,
5.167 (5.167),,,
5.133 (5.133),,,
,,,
5.200 (5.200),8.933 (3.733),,
,,,
,,,
5.167 (5.167),,,
5.367 (5.367),,,
5.233 (5.233),9.000 (3.767),,
5.200 (5.200),,,
5.167 (5.167),9.067 (3.900),,
5.167 (5.167),8.800 (3.633),,26.833 (18.033)
,,,
5.167 (5.167),9.233 (4.067),,
5.167 (5.167),8.833 (3.667),,
,,,
5.167 (5.167),9.000 (3.833),,26.733 (17.733)
,,,
,,,
5.200 (5.200),,,
5.167 (5.167),8.900 (3.733),,
,,,
,,,
5.200 (5.200),9.033 (3.833),,
5.233 (5.233),8.933 (3.700),,
5.333 (5.333),9.200 (3.867),,
5.233 (5.233),8.967 (3.733),,
,,,
5.233 (5.233),,,
5.133 (5.133),,,
5.167 (5.167),8.833 (3.667),,
,,,
5.300 (5.300),,,
,,,
,,,
5.267 (5.267),,,
,,,
5.233 (5.233),,,
5.200 (5.200),,,
5.200 (5.200),,,
,,,
5.200 (5.200),8.900 (3.700),,
,,,
